key,old
ds_fusion_msg_000,Dragon Ability Synthesis
ds_fusion_msg_001,ドラゴンアビリティの合成
ds_fusion_msg_002,ドラゴンアビリティの合成元となる装備を選択してください
ds_fusion_msg_003,"クラフトで★4に強化済み
または合成済みのため選択できません"
ds_fusion_msg_004,ドラゴンアビリティの合成素材となる装備を選択してください
ds_fusion_msg_005,ドラゴンアビリティの合成素材となる装備を選択してください
ds_fusion_msg_006,ドラゴンアビリティの合成素材となる装備を選択してください
ds_fusion_msg_007,ドラゴンアビリティの合成素材となる装備を選択してください
ds_fusion_msg_008,ドラゴンアビリティが「0」のため選択できません
ds_fusion_msg_009,Synthesis Source
ds_fusion_msg_010,Synthetic Material
ds_fusion_msg_011,黒竜装備
ds_fusion_msg_012,精霊竜装備
ds_fusion_msg_013,火竜装備
ds_fusion_msg_014,白竜装備
ds_fusion_msg_015,黄金竜装備
ds_fusion_msg_016,選択してください
ds_fusion_msg_017,合成結果の確認
ds_fusion_msg_018,合成結果の確率
ds_fusion_msg_019,合成開始
ds_fusion_msg_020,合成を開始します。よろしいですか？
ds_fusion_msg_021,すべての装備アイテムがセットされていません
ds_fusion_msg_022,合成完了しました
ds_fusion_msg_023,対象となるアイテムを所持していません
ds_fusion_msg_024,現在選択中のアイテムです
